Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
Baseline,50,-0.0006706454467773071,2.3054096419525147,2.3047389965057374,9.78,435958400.0,0.11905993919596618
Baseline,100,-0.0017948448944089535,2.3005196331787108,2.298724788284302,13.61,871916800.0,0.09852596834929309
Baseline,150,-0.0009385762786866536,2.3023364839172364,2.30139790763855,14.86,1307875200.0,0.10257442936145171
Baseline,200,-0.0016917113494874236,2.2993446047973634,2.297652893447876,15.33,1743833600.0,0.11613092671864145
Baseline,250,-0.0021084033203124797,2.3025947436523437,2.3004863403320313,15.55,2179792000.0,0.09670844917394668
Baseline,300,-0.0022026184082033495,2.3040951667785645,2.301892548370361,13.45,2615750400.0,0.10668922661011795
Baseline,350,-0.002271991958618269,2.302002929534912,2.2997309375762938,14.59,3051708800.0,0.10401495412126724
Baseline,400,-0.0020889885711667944,2.301100782852173,2.299011794281006,14.37,3487667200.0,0.12169622934879935
Baseline,450,-0.002626084289551134,2.302813649902344,2.300187565612793,13.0,3923625600.0,0.12857005586368508
Baseline,500,-0.003215669937133736,2.307387186355591,2.304171516418457,10.44,4359584000.0,0.1186418179306294
Baseline,550,-0.004032648773193426,2.3007329096984863,2.296700260925293,12.08,4795542400.0,0.11940928127905615
Baseline,600,-0.0032382588195800643,2.3049739880371094,2.3017357292175293,11.12,5231500800.0,0.1369545481941552
Baseline,650,-0.0020930605316160644,2.3061124086761473,2.3040193481445312,14.17,5667459200.0,0.13530550081898518
Baseline,700,-0.0027110146331787988,2.2909580788421633,2.2882470642089845,12.84,6103417600.0,0.1485507774946752
Baseline,750,-0.0010649193573000204,2.287025562362671,2.285960643005371,14.02,6539376000.0,0.14162792712784977
Baseline,800,-0.002762837677002139,2.272046520690918,2.269283683013916,12.96,6975334400.0,0.14556036182565552
Baseline,850,-0.0017288066101075472,2.2913655085754394,2.289636701965332,13.84,7411292800.0,0.1687944577019273
Baseline,900,-0.005060016555785918,2.291281547088623,2.286221530532837,11.39,7847251200.0,0.14276502251032247
Baseline,950,-0.0018428335571289978,2.2894336920166016,2.2875908584594726,11.65,8283209600.0,0.1362685524404892
Baseline,1000,-0.0034576088714599607,2.2991251828002928,2.295667573928833,10.5,8719168000.0,0.14834604216511646
Baseline,1050,-0.0004274797058108071,2.2812392308807374,2.2808117511749266,13.25,9155126400.0,0.14980631349813542
Baseline,1100,-0.000755795822143579,2.290954429397583,2.2901986335754394,15.16,9591084800.0,0.15226385167968015
Baseline,1150,-0.0013571187591550071,2.2937069886779784,2.2923498699188234,12.58,10027043200.0,0.1426117785128934
Baseline,1200,-0.0017032075500491572,2.3107136586761476,2.3090104511260985,10.41,10463001600.0,0.1504491982401616
Baseline,1250,-0.0009754744720460451,2.298422950668335,2.297447476196289,10.08,10898960000.0,0.15926121637463292
Baseline,1300,-0.0036270468139649736,2.3009532095336915,2.2973261627197266,10.32,11334918400.0,0.18353310910975845
Baseline,1350,-0.0017415299224854408,2.299775411300659,2.2980338813781738,12.23,11770876800.0,0.14458219027427538
Baseline,1400,-0.0028018523406982965,2.3116557971191405,2.308853944778442,10.69,12206835200.0,0.1332130162842299
Baseline,1450,-0.006583145904541343,2.31930853805542,2.312725392150879,10.02,12642793600.0,0.14246207038979436
Baseline,1500,-0.0059173150634768135,2.309517652282715,2.303600337219238,10.0,13078752000.0,0.15439060168153046
Baseline,1550,-0.008020328903198148,2.3169003677368165,2.3088800388336184,9.99,13514710400.0,0.1392550976896713
Baseline,1600,-0.020623576049804804,2.3633394734191895,2.3427158973693847,9.91,13950668800.0,0.15960156115348473
Baseline,1650,-0.019051701202392746,2.3435202841186524,2.3244685829162597,10.05,14386627200.0,0.13760253946473427
Baseline,1700,-0.03527272216796895,2.3671109606933594,2.3318382385253904,9.73,14822585600.0,0.14431201447207123
Baseline,1750,-0.02404221565246578,2.3683614905548094,2.3443192749023436,10.01,15258544000.0,0.17557533691913924
