Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
Baseline,50,-0.0004538153839108716,2.311751558227539,2.311297742843628,10.01,435958400.0,0.008749795376186965
Baseline,100,-0.00043303695678753584,2.311768708190918,2.3113356712341306,10.01,871916800.0,0.009757215322843248
Baseline,150,-0.0002701535034179692,2.310919352416992,2.3106491989135742,10.0,1307875200.0,0.009086039398407431
Baseline,200,-0.00024217987060515256,2.311253150939941,2.311010971069336,10.0,1743833600.0,0.00883309189033571
Baseline,250,-0.0006068690490721451,2.3120447047424317,2.3114378356933596,10.0,2179792000.0,0.00982089499623301
Baseline,300,-0.0006370894622800272,2.3128565211486816,2.3122194316864015,10.0,2615750400.0,0.009993801678566495
Baseline,350,-0.0008391314697262509,2.313004118270874,2.3121649868011476,10.0,3051708800.0,0.009737502108438312
Baseline,400,-0.0003979701232910138,2.311144690246582,2.310746720123291,10.0,3487667200.0,0.00905465834164303
Baseline,450,-0.0004013346099851489,2.311802852859497,2.311401518249512,10.0,3923625600.0,0.009607122789584232
Baseline,500,-0.000689059753417709,2.3126677279663084,2.3119786682128907,10.0,4359584000.0,0.010121438252003068
Baseline,550,-0.0006038633728029374,2.3129108568573,2.312306993484497,10.0,4795542400.0,0.008940199490246215
Baseline,600,-0.0003399103546142257,2.3115481237792967,2.3112082134246825,10.0,5231500800.0,0.00877673929252073
Baseline,650,-0.0005737817382813759,2.3115358293151855,2.310962047576904,10.0,5667459200.0,0.009282863960915955
Baseline,700,-0.00046648887634281877,2.3108469499969484,2.3103804611206056,10.0,6103417600.0,0.009867596944441014
Baseline,750,-0.0003808200073245338,2.3109707835388185,2.310589963531494,10.0,6539376000.0,0.00923559209349557
Baseline,800,-0.00032362258911167174,2.3113803913879396,2.311056768798828,10.0,6975334400.0,0.008921166880253262
Baseline,850,-0.00034858596801745634,2.312176122741699,2.3118275367736816,10.0,7411292800.0,0.009535501077788633
Baseline,900,-5.232582092284943e-05,2.3120314247131346,2.3119790988922118,10.0,7847251200.0,0.009623139987426088
Baseline,950,-0.0003555224609375074,2.3123931773376465,2.312037654876709,10.0,8283209600.0,0.00970670819648275
Baseline,1000,-0.000281941986084,2.3128637573242186,2.3125818153381346,10.0,8719168000.0,0.009112940553535565
Baseline,1050,-0.0001927716827392345,2.312074091491699,2.31188131980896,10.0,9155126400.0,0.008933292962121253
Baseline,1100,-0.00024208435058570288,2.313602762069702,2.3133606777191162,10.0,9591084800.0,0.00907761590849917
Baseline,1150,-0.0002568038940427009,2.313881792831421,2.313624988937378,10.0,10027043200.0,0.009191952302220242
Baseline,1200,-0.00029455093383790043,2.3149425787353515,2.3146480278015136,10.0,10463001600.0,0.009640735139487922
Baseline,1250,0.00014467895507808137,2.314569179840088,2.314713858795166,10.0,10898960000.0,0.008856354350286921
Baseline,1300,3.7045440673733054e-05,2.314983698120117,2.315020743560791,10.0,11334918400.0,0.009304194740962935
Baseline,1350,-7.924522399882505e-05,2.3152662756347655,2.3151870304107667,10.0,11770876800.0,0.009064916595303096
Baseline,1400,0.00019938819885290116,2.3158441230010984,2.3160435111999513,10.0,12206835200.0,0.009173176099228676
Baseline,1450,-0.0002701074218749433,2.3161820752716062,2.3159119678497313,10.0,12642793600.0,0.008960087515328142
Baseline,1500,-0.00011227378845202196,2.3153551383972166,2.3152428646087646,10.0,13078752000.0,0.009065527815482833
Baseline,1550,0.00025303817749033897,2.314313342895508,2.314566381072998,10.0,13514710400.0,0.009130100026701027
Baseline,1600,0.00015453422546363171,2.31490244972229,2.3150569839477537,10.0,13950668800.0,0.008719365923506295
Baseline,1650,4.810073852512531e-05,2.3156014338684083,2.3156495346069335,10.0,14386627200.0,0.0093904244504168
Baseline,1700,-0.00021856040954570943,2.3169681510925293,2.3167495906829836,10.0,14822585600.0,0.008867252711937678
Baseline,1750,0.0004826859283446616,2.315275619049072,2.315758304977417,10.0,15258544000.0,0.009389456677076014
Baseline,1800,5.099075317360757e-05,2.3180023364257814,2.318053327178955,10.0,15694502400.0,0.009470628619063438
