Topology,Iteration,TrainLoss,TestLoss,Gap,ConsErr
complete,0,0.6819270253181458,0.6807085021972656,-0.0012185231208801106,0.00013821026037791535
complete,10,1.2590957880020142,1.3519984178543092,0.09290262985229503,9.66714290638678e-05
complete,20,2.1058404445648193,2.290727146911621,0.1848867023468017,0.0001114886665022543
complete,30,3.0171148777008057,3.291417525482178,0.27430264778137214,0.00011767048320393078
complete,40,3.948946714401245,4.313047953796387,0.3641012393951417,0.00012165188842518173
complete,50,4.889291286468506,5.3439505004882815,0.4546592140197756,0.0001245292066906704
complete,60,5.833865165710449,6.379638854980469,0.5457736892700193,0.00012669174201186619
complete,70,6.780821323394775,7.418042004394532,0.6372206809997563,0.00012836339948094772
complete,80,7.729233264923096,8.45807431640625,0.7288410514831547,0.0001296843946005823
complete,90,8.678595542907715,9.499132678222656,0.8205371353149413,0.00013075121531084437
complete,99,9.53358268737793,10.436663841247558,0.9030811538696284,0.00013154431423336308
