Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
Baseline,50,-0.0001483055877686823,2.309642456893921,2.3094941513061524,9.91,435958400.0,0.0023855458740630275
Baseline,100,-0.00035475723266609194,2.3099634364318846,2.3096086791992185,9.99,871916800.0,0.0024995100142443743
Baseline,150,-0.0005064640808103427,2.309846072845459,2.3093396087646485,10.01,1307875200.0,0.002605839787931161
Baseline,200,-0.0004021911621094887,2.310321516799927,2.3099193256378174,10.01,1743833600.0,0.0033055854547135053
Baseline,250,-0.0007317767333985259,2.310707766647339,2.3099759899139403,10.0,2179792000.0,0.0037110289341758334
Baseline,300,-0.0006197816467281569,2.3102286195373534,2.309608837890625,10.0,2615750400.0,0.003189050307586336
