Experiment,Epoch,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,0,50,-0.0014323218536378413,2.302602203292847,2.301169881439209,10.01,435958400.0,0.000730401404246904
Baseline,1,100,-0.0014096912384031768,2.3036735149383545,2.3022638236999513,10.28,871916800.0,0.000576305046070203
Baseline,1,150,-0.0015425547790526295,2.303479234237671,2.3019366794586182,10.88,1307875200.0,0.0005027907237290831
Baseline,2,200,-0.001504674835205222,2.3028049811553957,2.3013003063201904,11.09,1743833600.0,0.00046892482480669144
Baseline,3,250,-0.0012340969085693487,2.3027017650604247,2.3014676681518553,12.53,2179792000.0,0.0005001364553173723
Baseline,3,300,-0.0013139163208006899,2.302566667480469,2.301252751159668,13.23,2615750400.0,0.00046820711478995217
Baseline,4,350,-0.0012756676483154372,2.302318472366333,2.3010428047180174,13.59,3051708800.0,0.0004990988092603559
Baseline,5,400,-0.0013804241180417343,2.3020169006347655,2.3006364765167238,14.81,3487667200.0,0.0005434080513121872
Baseline,5,450,-0.001348468170165873,2.302196270904541,2.300847802734375,15.45,3923625600.0,0.0004786887219083762
Baseline,6,500,-0.0014850211334231922,2.3018172919464113,2.300332270812988,14.67,4359584000.0,0.000500337950311499
Baseline,6,550,-0.0014307902526855543,2.3019241187286377,2.300493328475952,14.48,4795542400.0,0.000518899797524143
Baseline,7,600,-0.0014619941711426776,2.3019512187957765,2.300489224624634,14.19,5231500800.0,0.0004050318487745709
Baseline,8,650,-0.0016447192382811338,2.3017470557403565,2.3001023365020754,13.45,5667459200.0,0.00046674775871907855
Baseline,8,700,-0.0015969930267334398,2.3022299016571046,2.300632908630371,13.23,6103417600.0,0.0005161919724447836
Baseline,9,750,-0.0017282704162595586,2.3025396446990967,2.300811374282837,11.94,6539376000.0,0.000511623300788009
Baseline,10,800,-0.001614280014037739,2.302570683364868,2.3009564033508303,11.96,6975334400.0,0.0005275535648112499
Baseline,10,850,-0.0016158388519289524,2.30209792427063,2.300482085418701,12.11,7411292800.0,0.00048763753869284567
Baseline,11,900,-0.0017846959686278474,2.302506709060669,2.300722013092041,11.14,7847251200.0,0.0005078885633764497
Baseline,12,950,-0.0017093154907228403,2.302472960662842,2.300763645172119,11.25,8283209600.0,0.0005992340328785914
Baseline,12,1000,-0.0017724468994142484,2.3026913426208497,2.3009188957214355,10.77,8719168000.0,0.0005376200847394847
Baseline,13,1050,-0.001709234313964636,2.3028250492858886,2.301115814971924,10.49,9155126400.0,0.0005321342986520254
Baseline,13,1100,-0.0017806072235106996,2.303181831741333,2.3014012245178224,10.59,9591084800.0,0.0005791164552699068
Baseline,14,1150,-0.001936104888915935,2.302478665084839,2.300542560195923,10.5,10027043200.0,0.0005795038505245924
Baseline,15,1200,-0.0019550919342044004,2.303336257247925,2.3013811653137206,10.34,10463001600.0,0.0005626367761167199
Baseline,15,1250,-0.0019664011383055957,2.3033586260223387,2.301392224884033,10.21,10898960000.0,0.0005551719354961092
Baseline,16,1300,-0.0020240559387207924,2.303238433151245,2.301214377212524,10.26,11334918400.0,0.0005670247670609162
Baseline,17,1350,-0.00200626724243147,2.3027225342559814,2.30071626701355,10.33,11770876800.0,0.0005486715542885372
Baseline,17,1400,-0.002158134155273661,2.303205844192505,2.3010477100372313,10.15,12206835200.0,0.0005859488454725295
Baseline,18,1450,-0.0021463846588138935,2.3027177702331545,2.3005713855743406,10.29,12642793600.0,0.0005700321185297598
Baseline,18,1500,-0.002202967681884438,2.303116926040649,2.3009139583587648,10.23,13078752000.0,0.0005440481442683706
Baseline,19,1550,-0.002274941940307862,2.3026524115753175,2.3003774696350097,10.24,13514710400.0,0.0005870189977171196
Baseline,20,1600,-0.002237983398437393,2.3027641255187987,2.3005261421203613,10.42,13950668800.0,0.000564692319948832
Baseline,20,1650,-0.00249844703674329,2.3023243309020995,2.2998258838653562,10.31,14386627200.0,0.0006241625952449828
Baseline,21,1700,-0.0024295548248289833,2.3025815747070313,2.3001520198822023,10.19,14822585600.0,0.0005630313095875382
Baseline,22,1750,-0.0025100830078121916,2.3016539886474607,2.2991439056396485,11.06,15258544000.0,0.0005920045135851669
Baseline,22,1800,-0.002567618255615134,2.3015596073913573,2.298991989135742,11.11,15694502400.0,0.0005692714306426413
Baseline,23,1850,-0.0024920574951172725,2.3016711277771,2.2991790702819825,10.74,16130460800.0,0.000586071312549695
Baseline,24,1900,-0.0025662528228762582,2.301200392456055,2.2986341396331786,11.92,16566419200.0,0.0006302394492742995
Baseline,24,1950,-0.002929944229125958,2.301415323638916,2.29848537940979,11.89,17002377600.0,0.0006000061659007918
Baseline,25,2000,-0.0027263553619385483,2.301453968048096,2.2987276126861573,11.59,17438336000.0,0.0006181190059061058
Baseline,25,2050,-0.002861130447387783,2.301544560546875,2.298683430099487,12.16,17874294400.0,0.0005404818640327845
Baseline,26,2100,-0.0030811859130861485,2.3014663063049317,2.2983851203918455,12.91,18310252800.0,0.0006273828625530352
Baseline,27,2150,-0.002991873321533056,2.301135326538086,2.298143453216553,12.17,18746211200.0,0.0006429402038403073
Baseline,27,2200,-0.002969483184814603,2.300583457183838,2.2976139739990233,12.33,19182169600.0,0.0006193833501642508
Baseline,28,2250,-0.0030671665191648323,2.3009109813690185,2.2978438148498537,12.52,19618128000.0,0.0006365442867871829
Baseline,29,2300,-0.0033512779998781106,2.3005106499481203,2.297159371948242,13.21,20054086400.0,0.0006643324073621129
Baseline,29,2350,-0.003179596023559217,2.30127089012146,2.2980912940979006,13.26,20490044800.0,0.0006373531587852158
Baseline,30,2400,-0.003515157775878741,2.3007397717285154,2.2972246139526367,14.23,20926003200.0,0.0006139690329760167
Baseline,31,2450,-0.003459305191039874,2.301037031555176,2.297577726364136,13.97,21361961600.0,0.0006494486968562175
Baseline,31,2500,-0.0034943997955321215,2.300146238861084,2.296651839065552,14.51,21797920000.0,0.000614361958511777
Baseline,32,2550,-0.003625119781494046,2.3009851371765135,2.2973600173950195,14.23,22233878400.0,0.0006377079679504627
Baseline,32,2600,-0.003511874313354646,2.300398086090088,2.2968862117767332,14.42,22669836800.0,0.0006119280139620223
Baseline,33,2650,-0.003648112640381118,2.3005935918426514,2.2969454792022703,14.27,23105795200.0,0.0006459565757492007
Baseline,34,2700,-0.00376265815734822,2.3006346613311766,2.2968720031738283,14.67,23541753600.0,0.0006258876961063905
Baseline,34,2750,-0.00388778610229501,2.299827388381958,2.295939602279663,14.64,23977712000.0,0.0006301738061861115
Baseline,35,2800,-0.0037801756286621746,2.3003674772644045,2.2965873016357423,14.55,24413670400.0,0.0006645914818082042
Baseline,36,2850,-0.003991820831298565,2.3004673091125487,2.29647548828125,14.72,24849628800.0,0.0007022628632903447
Baseline,36,2900,-0.003945518341064602,2.3002781702423096,2.296332651901245,14.68,25285587200.0,0.0006775866285286987
Baseline,37,2950,-0.0040207385253903105,2.300805670852661,2.2967849323272707,14.78,25721545600.0,0.0006208256926724956
Baseline,37,3000,-0.004140380859375181,2.3008168907165527,2.2966765098571775,14.71,26157504000.0,0.0006631129062923534
Baseline,38,3050,-0.004367410125732718,2.3014526838684084,2.2970852737426757,14.73,26593462400.0,0.0006116312825469143
Baseline,39,3100,-0.004211132583618049,2.301103363571167,2.296892230987549,14.68,27029420800.0,0.0006818350570057579
Baseline,39,3150,-0.00420057678222685,2.300533044433594,2.296332467651367,14.71,27465379200.0,0.0006796037288684033
Baseline,40,3200,-0.004240274276733569,2.3008610346221925,2.296620760345459,14.68,27901337600.0,0.0006768517935023304
Baseline,41,3250,-0.004354312057495147,2.3006286124420168,2.2962743003845216,14.75,28337296000.0,0.0007002957441402238
Baseline,41,3300,-0.004201646118163982,2.3007766819763185,2.2965750358581545,14.56,28773254400.0,0.0006479693640954881
Baseline,42,3350,-0.0043325152587887494,2.301560676116943,2.2972281608581544,14.8,29209212800.0,0.0006506515657514304
Baseline,43,3400,-0.004046779327392169,2.301665799407959,2.2976190200805666,14.73,29645171200.0,0.0007330980313562885
Baseline,43,3450,-0.0041679924011233105,2.3013128410339356,2.2971448486328123,14.69,30081129600.0,0.0007299107534985923
