Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,50,-0.0011896774291995094,2.3024813976287843,2.301291720199585,10.02,435958400.0,0.00018925106534750034
Baseline,100,-0.0014447882080079744,2.303600590362549,2.302155802154541,10.03,871916800.0,0.0009847068719169238
Baseline,150,-0.0014124473571777152,2.304771664810181,2.303359217453003,11.65,1307875200.0,0.0015517190339834537
Baseline,200,-0.0012058697509766958,2.3037377243804933,2.3025318546295166,12.29,1743833600.0,0.0033135612547957214
Baseline,250,-0.0008140106201168784,2.302852809524536,2.302038798904419,9.4,2179792000.0,0.005916166301625903
Baseline,300,-0.0013257684326171137,2.30272664352417,2.3014008750915527,9.99,2615750400.0,0.005859507206173886
Baseline,350,-0.001469268569946447,2.301407786331177,2.2999385177612304,10.5,3051708800.0,0.0078093950865389394
Baseline,400,-0.0022192500305173724,2.3033073054504394,2.301088055419922,10.01,3487667200.0,0.012178148763824715
Baseline,450,-0.0027866289520264154,2.3063145407104493,2.303527911758423,10.0,3923625600.0,0.00854036892084653
Baseline,500,-0.0036754710388184897,2.3024184008789064,2.298742929840088,10.01,4359584000.0,0.008891368221529593
Baseline,550,-0.0037934034729003585,2.3080054907226564,2.304212087249756,10.0,4795542400.0,0.00938774638261195
Baseline,600,-0.00511707336425804,2.3102797068786622,2.305162633514404,10.0,5231500800.0,0.008982793759749596
Baseline,650,-0.005334725723266764,2.310914724884033,2.3055799991607664,10.0,5667459200.0,0.010265978026218814
Baseline,700,-0.004623804855346858,2.307803386306763,2.303179581451416,9.36,6103417600.0,0.01003458855757341
Baseline,750,-0.004373115158081031,2.3071941299438476,2.3028210147857666,9.41,6539376000.0,0.01000775041093318
Baseline,800,-0.005075215988159076,2.307817812423706,2.302742596435547,9.24,6975334400.0,0.010719152974290469
Baseline,850,-0.005559887542724518,2.307614034881592,2.3020541473388674,8.33,7411292800.0,0.010436237768705049
Baseline,900,-0.005295641708374266,2.3082931037902834,2.302997462081909,7.85,7847251200.0,0.00986038566218449
Baseline,950,-0.006187918777465828,2.3117203566741944,2.3055324378967286,8.39,8283209600.0,0.017527301709242327
Baseline,1000,-0.00494303482055658,2.3095408409881593,2.3045978061676027,7.72,8719168000.0,0.009477833625307176
Baseline,1050,-0.004581109619140378,2.3090235633850096,2.304442453765869,9.32,9155126400.0,0.009605878503619648
Baseline,1100,-0.005272041473388445,2.3082909394836424,2.303018898010254,9.88,9591084800.0,0.010286766446375929
Baseline,1150,-0.006253241729736292,2.3097433128356935,2.303490071105957,9.95,10027043200.0,0.010383360258451246
Baseline,1200,-0.005146819076538023,2.3084750825500486,2.3033282634735106,9.04,10463001600.0,0.011057198783998013
Baseline,1250,-0.004315882797241155,2.3134166381072996,2.3091007553100584,9.4,10898960000.0,0.010972613770062945
Baseline,1300,-0.0059215322875978416,2.311446468963623,2.3055249366760253,10.65,11334918400.0,0.010964306746675912
Baseline,1350,-0.005508118515014537,2.309327190475464,2.3038190719604494,10.67,11770876800.0,0.013603640993367527
Baseline,1400,-0.005593256454467621,2.3017907837677,2.2961975273132325,10.58,12206835200.0,0.01001260901654527
Baseline,1450,-0.0055526779937746795,2.306247183685303,2.3006945056915282,10.25,12642793600.0,0.010475786505734896
Baseline,1500,-0.00516414428710954,2.3077820306396486,2.302617886352539,10.89,13078752000.0,0.010208111246883955
Baseline,1550,-0.005624492111206081,2.3091840174102782,2.303559525299072,9.65,13514710400.0,0.010655018881505274
Baseline,1600,-0.005120433807372926,2.3107704563140867,2.305650022506714,10.95,13950668800.0,0.010519905685784658
Baseline,1650,-0.005451082611083624,2.314476364135742,2.3090252815246584,11.45,14386627200.0,0.010456974406923414
Baseline,1700,-0.005493308868408153,2.3146369905853272,2.309143681716919,10.69,14822585600.0,0.010275309533845856
Baseline,1750,-0.0063811743164063905,2.3098645018005373,2.303483327484131,10.89,15258544000.0,0.012665371133586446
Baseline,1800,-0.008020233078002814,2.30979486076355,2.301774627685547,9.86,15694502400.0,0.010232500251050769
Baseline,1850,-0.005967103042602506,2.311496338882446,2.3055292358398436,10.42,16130460800.0,0.010336935978838946
Baseline,1900,-0.006796884918212953,2.3117017066955565,2.3049048217773436,11.3,16566419200.0,0.017016759991201225
Baseline,1950,-0.005220968933105752,2.3151523936462404,2.3099314247131346,13.93,17002377600.0,0.010960072874734184
Baseline,2000,-0.00597371368408206,2.3155638481140137,2.3095901344299317,12.44,17438336000.0,0.011043403535936558
Baseline,2050,-0.005103600463867153,2.3089712968444824,2.3038676963806153,11.67,17874294400.0,0.010348191694021281
Baseline,2100,-0.00556092445373535,2.3088810736846925,2.303320149230957,12.58,18310252800.0,0.010482431858039242
Baseline,2150,-0.005021394119262279,2.3081593083953855,2.3031379142761232,11.8,18746211200.0,0.010804924936812555
Baseline,2200,-0.00497101402282718,2.3072057300567628,2.3022347160339356,11.59,19182169600.0,0.010666839491388335
Baseline,2250,-0.005165694580078206,2.307043464050293,2.301877769470215,10.97,19618128000.0,0.011084797417991721
Baseline,2300,-0.005572368087768176,2.3072833280944822,2.301710960006714,11.68,20054086400.0,0.013224384854495442
Baseline,2350,-0.006345066223144347,2.3045573930358887,2.2982123268127443,11.59,20490044800.0,0.011168878717687769
Baseline,2400,-0.006485659332275517,2.3054541026306152,2.2989684432983397,13.12,20926003200.0,0.01061040535196941
Baseline,2450,-0.006350555877685515,2.3116604008483885,2.305309844970703,10.74,21361961600.0,0.016013585743956837
Baseline,2500,-0.005550613632202328,2.308443966522217,2.3028933528900146,10.22,21797920000.0,0.011249967638659198
Baseline,2550,-0.006072853622436369,2.3091325196838377,2.3030596660614013,12.95,22233878400.0,0.010950135692895246
Baseline,2600,-0.004466543121337985,2.3071754779052736,2.3027089347839356,9.99,22669836800.0,0.010342641411570352
Baseline,2650,-0.0062145699310303115,2.3084464478302,2.3022318778991697,11.74,23105795200.0,0.009893116398425517
Baseline,2700,-0.006518985748290795,2.3148498527526855,2.3083308670043947,14.56,23541753600.0,0.011190320700176514
Baseline,2750,-0.006782824630737316,2.313643006439209,2.3068601818084717,14.19,23977712000.0,0.010123873732532752
Baseline,2800,-0.0063115445709232,2.311347599563599,2.3050360549926756,10.4,24413670400.0,0.01077636230102431
Baseline,2850,-0.010828529739379977,2.307508667373657,2.296680137634277,14.22,24849628800.0,0.01345115214711139
Baseline,2900,-0.0060582348632816085,2.3107151196289064,2.304656884765625,10.57,25285587200.0,0.010253437736051451
Baseline,2950,-0.009191637268066266,2.3092714445495606,2.3000798072814943,13.45,25721545600.0,0.010378248878434826
Baseline,3000,-0.009467545623779383,2.3120566466522217,2.3025891010284423,10.57,26157504000.0,0.010569532263557146
Baseline,3050,-0.008519853973388614,2.310231829071045,2.3017119750976565,10.74,26593462400.0,0.011094069333206525
Baseline,3100,-0.008485375213623136,2.3088849769592286,2.3003996017456054,11.12,27029420800.0,0.010460335673096333
Baseline,3150,-0.009696572494506839,2.3087470405578614,2.2990504680633546,11.65,27465379200.0,0.010863055364520757
Baseline,3200,-0.009273062210083172,2.3092902558135986,2.3000171936035154,12.79,27901337600.0,0.010726362986923265
Baseline,3250,-0.010043542785644455,2.3043505004119873,2.294306957626343,14.12,28337296000.0,0.013345694254910456
Baseline,3300,-0.007492640914916748,2.3038953565979003,2.2964027156829836,11.15,28773254400.0,0.010580835289987179
Baseline,3350,-0.008401170578002937,2.29612289604187,2.287721725463867,11.89,29209212800.0,0.010773061435025733
Baseline,3400,-0.006797515029907331,2.308948967666626,2.3021514526367186,11.7,29645171200.0,0.0186419173192943
Baseline,3450,-0.007364971160888523,2.306578953552246,2.2992139823913575,11.01,30081129600.0,0.010776869682831602
Baseline,3500,-0.009875044326782323,2.309139379196167,2.2992643348693846,13.88,30517088000.0,0.010488414543321578
Baseline,3550,-0.008102036361694598,2.301051570968628,2.2929495346069335,12.03,30953046400.0,0.011708286939046885
Baseline,3600,-0.0071211698913571375,2.3108063230895994,2.3036851531982423,12.9,31389004800.0,0.01002014609220948
Baseline,3650,-0.007953897247314323,2.3045183896636963,2.296564492416382,10.74,31824963200.0,0.010712872261832772
Baseline,3700,-0.008130887832641598,2.306513950958252,2.2983830631256104,12.32,32260921600.0,0.011363339849068121
Baseline,3750,-0.009183802490234427,2.3104871800231934,2.301303377532959,13.02,32696880000.0,0.010518003813582344
Baseline,3800,-0.01232601882934592,2.3054258197021484,2.2930998008728025,12.29,33132838400.0,0.01338614261967328
Baseline,3850,-0.009064807281494502,2.3058432763671877,2.296778469085693,12.89,33568796800.0,0.010826616590071347
Baseline,3900,-0.010635624999999926,2.2994040919494627,2.288768466949463,11.87,34004755200.0,0.010451817912954442
Baseline,3950,-0.008990034255981438,2.2996917699432373,2.290701735687256,11.51,34440713600.0,0.014854021088378355
