Topology,Iteration,TrainLoss,TestLoss,Gap,ConsErr
complete,0,0.692769467830658,0.6927287301063537,-4.073772430424061e-05,1.5356503996771452e-07
complete,10,1.462796926498413,1.5825763019561767,0.11977937545776363,1.2105376262007664e-07
complete,20,2.552952527999878,2.7997506958007814,0.24679816780090347,1.3741080100106338e-07
complete,30,3.7120494842529297,4.082712615966797,0.3706631317138669,1.456356695337237e-07
complete,40,4.892884254455566,5.386347770690918,0.49346351623535156,1.5183161466970018e-07
complete,50,6.083075046539307,6.698952032470703,0.6158769859313962,1.564647552553997e-07
complete,60,7.278165340423584,8.016238404846192,0.7380730644226077,1.5989239869376448e-07
complete,70,8.476140022277832,9.336267288208008,0.860127265930176,1.6230071771332363e-07
complete,80,9.675949096679688,10.658044876098632,0.9820957794189447,1.6421742268998535e-07
complete,90,10.876974105834961,11.980993301391601,1.1040191955566403,1.6555977904180118e-07
complete,99,11.958624839782715,13.17236584777832,1.2137410079956048,1.6655177598272956e-07
