Topology,Iteration,TrainLoss,TestLoss,Gap,ConsErr
ring,0,0.6788914203643799,0.6754719240188599,-0.003419496345519968,0.04650430473654158
ring,10,1.0849459171295166,1.1541848587036132,0.0692389415740966,1.3473592368796063
ring,20,1.7111386060714722,1.8608380493164063,0.14969944324493412,3.4072363320021273
ring,30,2.4116756916046143,2.6399869998931886,0.22831130828857438,5.460117355972153
ring,40,3.140202522277832,3.4456492630004885,0.30544674072265643,7.250668264375601
ring,50,3.881516695022583,4.263595524597168,0.38207882957458494,8.707210352264507
ring,60,4.6296257972717285,5.0882197288513185,0.45859393157958994,9.844392729091435
ring,70,5.381786823272705,5.916880703735352,0.5350938804626466,10.709713146641903
ring,80,6.1365580558776855,6.748146127319336,0.6115880714416502,11.357271992348629
ring,90,6.893074035644531,7.581137231445313,0.6880631958007815,11.83634257435425
ring,99,7.5749711990356445,8.331835440063477,0.7568642410278326,12.157539118722672
