Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,50,-0.0011419586944576565,2.301172516326904,2.3000305576324465,13.54,435958400.0,0.004932710125221851
Baseline,100,-0.0005974168395996848,2.304185421142578,2.3035880043029784,11.91,871916800.0,0.0060829824627177675
Baseline,150,-0.0008735295104980167,2.3026947216796874,2.3018211921691893,12.49,1307875200.0,0.006594951737792931
Baseline,200,-0.0010887874603269232,2.300341268157959,2.299252480697632,11.64,1743833600.0,0.007126183693902488
Baseline,250,-0.000825015411376917,2.3007848615264894,2.2999598461151125,11.02,2179792000.0,0.00850037424148271
Baseline,300,-0.0018225656127928147,2.298548970184326,2.296726404571533,10.18,2615750400.0,0.008271224473035865
Baseline,350,-0.0018589571380616121,2.2984173487091066,2.296558391571045,10.1,3051708800.0,0.007914886159479894
Baseline,400,-0.002457102508544917,2.2947283019256592,2.2922711994171143,10.0,3487667200.0,0.011950545589775152
Baseline,450,-0.003132929840087506,2.2919620832824705,2.288829153442383,10.62,3923625600.0,0.008601091358483281
Baseline,500,-0.003668572998047015,2.293909999847412,2.290241426849365,10.22,4359584000.0,0.00925118204172135
Baseline,550,-0.0030549512481687913,2.293842624435425,2.290787673187256,10.08,4795542400.0,0.009468686386820946
Baseline,600,-0.003869200592040656,2.2918730278778074,2.288003827285767,10.0,5231500800.0,0.009460094116968932
Baseline,650,-0.00401076713562043,2.2941247132873537,2.2901139461517332,10.1,5667459200.0,0.009848314130640645
Baseline,700,-0.004192641525268659,2.2920031956481934,2.2878105541229248,9.99,6103417600.0,0.009666038911659324
Baseline,750,-0.003454727020263615,2.2939744917297364,2.290519764709473,10.04,6539376000.0,0.009815766154640327
Baseline,800,-0.00422785659790037,2.2936626161193847,2.2894347595214843,10.04,6975334400.0,0.011153066121357812
Baseline,850,-0.004367591781616387,2.2899684691619875,2.285600877380371,10.01,7411292800.0,0.010592603316584404
