Experiment,Epoch,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,0,50,-0.0011729080200195696,2.300501682281494,2.2993287742614745,12.94,435958400.0,0.004913398721293627
Baseline,1,100,-0.0018364510345456608,2.299169413833618,2.2973329627990724,13.43,871916800.0,0.027196586629779994
Baseline,1,150,-0.003961030807495103,2.2956752195739747,2.2917141887664796,19.76,1307875200.0,0.028180779292408965
Baseline,2,200,-0.006469328460693369,2.285472198638916,2.2790028701782226,14.15,1743833600.0,0.0566740931963428
Baseline,3,250,-0.008318876190185787,2.2783947192382814,2.2700758430480956,12.19,2179792000.0,0.11639139135218332
Baseline,3,300,-0.012940703430175837,2.264886696090698,2.2519459926605223,14.26,2615750400.0,0.09232630118603638
Baseline,4,350,-0.016477292785644693,2.2952081620788576,2.278730869293213,13.75,3051708800.0,0.12420768520510546
Baseline,5,400,0.16629297302246115,2.5391845095825194,2.7054774826049806,11.16,3487667200.0,0.3100528274148239
Baseline,5,450,0.34826358963012716,2.994823907318115,3.3430874969482423,12.19,3923625600.0,0.16422155302303346
Baseline,6,500,0.825667193145752,6.7976076893615724,7.623274882507324,11.97,4359584000.0,0.14142841007320578
Baseline,6,550,0.3450337596130373,3.732389405517578,4.077423165130615,18.08,4795542400.0,0.15639136244133703
Baseline,7,600,-1.0741593630981443,5.860153665466308,4.785994302368164,11.56,5231500800.0,0.1447881272174138
Baseline,8,650,0.5171841113281239,10.462806184082032,10.979990295410156,13.43,5667459200.0,0.14637795162552597
Baseline,8,700,0.38764044433593803,11.779398309936523,12.167038754272461,10.04,6103417600.0,0.15315734572979559
Baseline,9,750,-3.212023706665038,17.795747501220703,14.583723794555665,10.07,6539376000.0,0.14893027325250027
Baseline,10,800,-1.2569182687377936,14.987860228881836,13.730941960144042,10.0,6975334400.0,0.193213359425585
Baseline,10,850,-2.0065706750488275,20.54054963317871,18.533978958129882,10.0,7411292800.0,0.15398723159458516
Baseline,11,900,-0.8675155477905285,12.897646443786622,12.030130895996093,10.18,7847251200.0,0.14230225520667653
Baseline,12,950,-1.5451924734497062,11.578831947937012,10.033639474487305,10.03,8283209600.0,0.3031234182889605
Baseline,12,1000,0.7941207763671887,10.520149690246582,11.31427046661377,9.95,8719168000.0,0.14591203609841977
Baseline,13,1050,-0.03823807922363187,23.375703838500975,23.337465759277343,10.0,9155126400.0,0.1478028470577229
Baseline,13,1100,-1.5353940496826155,29.38402864135742,27.848634591674806,10.0,9591084800.0,0.1447999561178092
Baseline,14,1150,-2.317501737060546,35.97371109985352,33.65620936279297,10.0,10027043200.0,0.15010737142429117
Baseline,15,1200,-1.3463112731933613,17.962762982177736,16.616451708984375,9.77,10463001600.0,0.17849386431273578
Baseline,15,1250,0.7510435787963878,10.855687732238769,11.606731311035157,9.83,10898960000.0,0.16326010649536649
Baseline,16,1300,-1.1204665185546876,11.47668479248047,10.356218273925782,10.03,11334918400.0,0.1520509797638338
Baseline,17,1350,-1.4020297708129892,10.067337641296387,8.665307870483398,11.69,11770876800.0,0.23311236731516516
Baseline,17,1400,0.8635619705200188,9.853219421386719,10.716781391906737,10.05,12206835200.0,0.1537681083540381
Baseline,18,1450,-1.1661581622314454,14.793399443359375,13.62724128112793,10.81,12642793600.0,0.14945723701014088
