Experiment,Epoch,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,0,50,2.899170237213866e-09,2.3025854905700682,2.3025854934692385,10.0,435958400.0,2.372788675212916e-06
Baseline,0,100,-2.2735596072465114e-08,2.302585728683472,2.302585705947876,10.0,871916800.0,2.5949447502964974e-06
Baseline,0,150,-2.1362307478511866e-09,2.3025857511901857,2.302585749053955,10.0,1307875200.0,1.1340784971868319e-06
Baseline,1,200,-1.4572143935964732e-08,2.302591867141724,2.30259185256958,10.0,1743833600.0,2.8093359872430335e-05
Baseline,1,250,5.035400540975843e-09,2.302591750640869,2.3025917556762696,10.0,2179792000.0,1.9750009992456426e-05
Baseline,1,300,-1.5792846586037967e-08,2.30258978515625,2.3025897693634034,10.0,2615750400.0,7.0521103895904126e-06
Baseline,1,350,7.17163084473782e-09,2.302593648223877,2.302593655395508,10.0,3051708800.0,1.4643299041453874e-05
Baseline,2,400,-3.814699667259447e-10,2.30259155960083,2.30259155921936,10.0,3487667200.0,5.276005593516698e-05
Baseline,2,450,1.113891601178807e-08,2.3025960459899903,2.3025960571289064,10.0,3923625600.0,2.6630679192929147e-05
Baseline,2,500,-2.5329589536937647e-08,2.3026016217803953,2.3026015964508058,10.0,4359584000.0,2.864838775708256e-05
Baseline,2,550,-1.0147094720025507e-08,2.302600290527344,2.302600280380249,10.0,4795542400.0,2.8035955320039477e-05
Baseline,3,600,-3.295898443056444e-08,2.3026094453430175,2.302609412384033,10.0,5231500800.0,0.0001367707348594407
Baseline,3,650,-2.32696533153387e-08,2.302608807373047,2.3026087841033935,10.0,5667459200.0,4.961650052237587e-05
Baseline,3,700,-1.0910033765298977e-08,2.3026282568359373,2.3026282459259035,10.0,6103417600.0,4.842292915157762e-05
Baseline,3,750,2.7465820728878043e-09,2.3026115618896483,2.3026115646362304,10.0,6539376000.0,7.275327761888453e-05
Baseline,4,800,3.273010218407535e-08,2.3026120213317873,2.3026120540618895,10.0,6975334400.0,6.635752238015472e-05
Baseline,4,850,9.384155230662827e-09,2.302598214492798,2.302598223876953,10.0,7411292800.0,0.00013193037629649325
Baseline,4,900,-1.4190673969238787e-08,2.30261759765625,2.302617583465576,10.0,7847251200.0,5.183006446347557e-05
Baseline,4,950,-9.918212917625624e-09,2.3025944160461425,2.3025944061279295,10.0,8283209600.0,5.532013196927349e-05
Baseline,5,1000,-2.639770535495245e-08,2.302613187866211,2.3026131614685057,10.0,8719168000.0,0.0001782484029258383
Baseline,5,1050,-2.3498535117738584e-08,2.3026440992736816,2.3026440757751465,10.0,9155126400.0,0.00019556001380631504
Baseline,5,1100,4.1198728872871015e-09,2.302653178100586,2.302653182220459,10.0,9591084800.0,0.00026201496184225306
Baseline,5,1150,3.738403364650367e-09,2.302638926773071,2.3026389305114745,10.0,10027043200.0,0.00012634912347267479
