Experiment,Epoch,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,0,50,-0.0010063380432132618,2.3008985678863527,2.2998922298431395,13.5,435958400.0,0.005432957327596366
Baseline,1,100,-0.0014780614471434639,2.300462223968506,2.2989841625213625,10.23,871916800.0,0.026682170224164015
Baseline,1,150,-0.0015764761352539125,2.3034964697265625,2.3019199935913086,10.77,1307875200.0,0.026679105474518884
Baseline,2,200,-0.005666722106933975,2.296214206314087,2.290547484207153,10.42,1743833600.0,0.05632003206618128
Baseline,3,250,-0.0031963916778567913,2.3016463302612307,2.298449938583374,10.87,2179792000.0,0.11318147481593836
Baseline,3,300,0.0031679817962646517,2.3150768897247316,2.3182448715209962,13.69,2615750400.0,0.09563792652425303
Baseline,4,350,-0.010539908752441374,2.3435864503479005,2.333046541595459,11.79,3051708800.0,0.1263757079830965
Baseline,5,400,0.0649856267547606,2.5186546980285645,2.583640324783325,13.37,3487667200.0,0.3072804014715295
Baseline,5,450,0.44082517913818364,4.196398954162597,4.637224133300781,10.36,3923625600.0,0.16211267473555663
Baseline,6,500,-0.03494720275878915,4.157025617675782,4.1220784149169925,13.55,4359584000.0,0.15030807472455834
Baseline,6,550,0.5277089665222174,5.176905959625244,5.704614926147461,14.32,4795542400.0,0.15130128133228826
Baseline,7,600,-2.065473435363769,9.461720604858398,7.396247169494629,10.75,5231500800.0,0.1502452703235715
Baseline,8,650,-0.07004424819946298,5.569909855651855,5.499865607452392,17.23,5667459200.0,0.15543516932161747
Baseline,8,700,-0.6610543284606933,6.4735467723083495,5.812492443847656,12.69,6103417600.0,0.1535772523588948
Baseline,9,750,-0.6536057978820802,7.303951703948974,6.650345906066894,16.53,6539376000.0,0.15739945230161628
Baseline,10,800,-1.8764798693847666,9.942989598388673,8.066509729003906,14.92,6975334400.0,0.2000628021169538
Baseline,10,850,-3.5007214431762694,12.933153471374512,9.432432028198242,12.53,7411292800.0,0.16096961510417582
Baseline,11,900,0.697294544372558,6.554178681793213,7.251473226165771,14.59,7847251200.0,0.14931144043259775
Baseline,12,950,0.3365038891601557,9.679467688293457,10.015971577453612,11.92,8283209600.0,0.3057317506491565
Baseline,12,1000,-1.3984832101440423,8.481967107543944,7.083483897399902,14.42,8719168000.0,0.15316167855818302
Baseline,13,1050,-0.6510651580810549,10.2897922164917,9.638727058410645,14.78,9155126400.0,0.1466395807692633
Baseline,13,1100,-2.238721936645508,9.78766658996582,7.548944653320312,12.99,9591084800.0,0.14749523749741567
Baseline,14,1150,0.19296515991210939,9.896155399780273,10.089120559692383,14.25,10027043200.0,0.14482183206941315
Baseline,15,1200,-1.0259912860107416,12.29767545349121,11.271684167480469,13.71,10463001600.0,0.17023981406841582
Baseline,15,1250,0.8254152911376949,10.116152062683106,10.941567353820801,12.44,10898960000.0,0.1585681658562729
Baseline,16,1300,-1.1873677770996132,32.70581090454102,31.518443127441405,10.11,11334918400.0,0.15030887021639233
Baseline,17,1350,-0.6033610009765624,17.31729739929199,16.71393639831543,11.26,11770876800.0,0.24596957091897895
Baseline,17,1400,-1.30366888671875,18.06949832397461,16.76582943725586,11.54,12206835200.0,0.15651743384171085
Baseline,18,1450,0.4566233132934574,14.593490715637207,15.050114028930665,11.47,12642793600.0,0.15029867418986473
Baseline,18,1500,-1.6000216070556643,17.56049267944336,15.960471072387696,11.59,13078752000.0,0.15534478289777914
Baseline,19,1550,-1.115574555053712,28.939964813842774,27.824390258789062,10.02,13514710400.0,0.1475752383453532
Baseline,20,1600,-4.508284282226562,27.69194691040039,23.183662628173828,13.0,13950668800.0,0.15926591655712752
Baseline,20,1650,-0.6019571691894505,27.51877511352539,26.91681794433594,10.73,14386627200.0,0.14621115769504414
Baseline,21,1700,-0.882375403442385,30.555016547241213,29.672641143798828,11.2,14822585600.0,0.14912979830032622
Baseline,22,1750,0.39248011718749964,30.080498666992188,30.472978784179688,10.13,15258544000.0,0.20507189864849912
Baseline,22,1800,-0.7691168981933565,25.932878812255858,25.1637619140625,10.98,15694502400.0,0.14465332596112504
Baseline,23,1850,1.816419222412108,26.341405130615236,28.157824353027344,10.77,16130460800.0,0.16289204848134933
Baseline,24,1900,-0.43028539550781275,31.471403950195313,31.0411185546875,10.03,16566419200.0,0.3159698409315503
Baseline,24,1950,-1.9069019964599612,27.207056268920898,25.300154272460937,10.14,17002377600.0,0.15176671917674067
Baseline,25,2000,-1.0384313037109365,38.360837578125,37.322406274414064,9.99,17438336000.0,0.1549914131189672
Baseline,25,2050,1.155635836181645,38.9568290258789,40.11246486206055,10.0,17874294400.0,0.14705345671520167
Baseline,26,2100,-0.5555166015625019,43.521233935546874,42.96571733398437,10.0,18310252800.0,0.15457005974613997
Baseline,27,2150,-3.943940654296874,38.70461116821289,34.76067051391602,10.0,18746211200.0,0.19159728137723525
Baseline,27,2200,-2.8133079248046897,38.1182792199707,35.30497129516601,10.0,19182169600.0,0.15913663638364106
Baseline,28,2250,-1.485049622802741,34.65596235473633,33.17091273193359,10.0,19618128000.0,0.15461843232034056
Baseline,29,2300,-1.3333431018066406,56.13236949951172,54.79902639770508,10.0,20054086400.0,0.22419464737439726
Baseline,29,2350,-0.6237474884033212,30.8144313873291,30.19068389892578,10.03,20490044800.0,0.15982682933981618
