Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
Baseline,50,5.6457523101016704e-09,2.302738459472656,2.3027384651184084,10.0,435958400.0,0.0007326421539666228
Baseline,100,4.3487546896869844e-09,2.30276253074646,2.302762535095215,10.0,871916800.0,0.0009237305282797405
Baseline,150,7.858276251937468e-09,2.3028213948822023,2.3028214027404785,10.0,1307875200.0,0.0002787688091810403
Baseline,200,9.841919279551803e-09,2.302784475021362,2.3027844848632815,10.0,1743833600.0,0.0003902411584156152
Baseline,250,-3.5858156444135147e-09,2.3028690587615968,2.302869055175781,10.0,2179792000.0,0.0007101510899435951
Baseline,300,-2.1362307478511866e-09,2.3026749296569826,2.302674927520752,10.0,2615750400.0,0.000781997725763187
Baseline,350,9.765625197388772e-09,2.3029774613952636,2.302977471160889,10.0,3051708800.0,0.0008133554020935164
Baseline,400,5.187988261212695e-09,2.3027069284057617,2.30270693359375,10.0,3487667200.0,0.0005512671458207333
Baseline,450,9.918212917625624e-10,2.3029792852020265,2.302979286193848,10.0,3923625600.0,0.0003459581663567291
Baseline,500,1.1444090119994144e-09,2.3027776405334475,2.3027776416778565,10.0,4359584000.0,0.00045550354343077207
Baseline,550,-1.1596679616587835e-08,2.3027100671386718,2.302710055541992,10.0,4795542400.0,0.000409287865253705
Baseline,600,9.765625197388772e-09,2.3027832498168945,2.3027832595825197,10.0,5231500800.0,0.00032571563236821754
Baseline,650,2.6702884348139833e-09,2.302736213684082,2.3027362163543703,10.0,5667459200.0,0.0007561743889277807
Baseline,700,3.128052039613749e-09,2.3027457816314696,2.3027457847595216,10.0,6103417600.0,0.0006959773541495885
Baseline,750,2.1362303037619768e-09,2.3028214006042482,2.3028214027404785,10.0,6539376000.0,0.00017322434638829438
