Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
Baseline,50,-0.00013316055297840634,2.3098143060302734,2.309681145477295,9.9,435958400.0,0.002215656936418217
Baseline,100,-0.000273490753174066,2.310170892944336,2.309897402191162,9.99,871916800.0,0.002232964038607263
Baseline,150,-0.0004683310699462595,2.31017156288147,2.3097032318115236,10.01,1307875200.0,0.002186409771878589
Baseline,200,-0.0005581047821041629,2.310376534347534,2.30981842956543,10.01,1743833600.0,0.002381632923365373
Baseline,250,-0.0006223007965089344,2.3110100636291504,2.3103877628326415,10.0,2179792000.0,0.0021430627000851715
Baseline,300,-0.0004237967681883781,2.3100090480041504,2.309585251235962,10.0,2615750400.0,0.0023505379094218874
Baseline,350,-0.000590745620727251,2.3096845597076414,2.309093814086914,10.0,3051708800.0,0.0022235298879066502
Baseline,400,-0.0004996024322512227,2.30868286315918,2.3081832607269286,10.0,3487667200.0,0.0023058645063852882
Baseline,450,-0.0007124491119387955,2.30910110534668,2.308388656234741,10.0,3923625600.0,0.0022740837188224587
Baseline,500,-0.0008182402801515387,2.308713613433838,2.3078953731536864,10.0,4359584000.0,0.0024418565635581173
Baseline,550,-0.0006929525756835808,2.3083800127410887,2.307687060165405,10.0,4795542400.0,0.002315213648206746
Baseline,600,-0.000647307434082034,2.308992966308594,2.308345658874512,10.0,5231500800.0,0.002342753402482303
Baseline,650,-0.0004876866149903236,2.30860781791687,2.3081201313018798,10.0,5667459200.0,0.002568362871225691
Baseline,700,-0.0005714508056642309,2.308805216217041,2.308233765411377,10.0,6103417600.0,0.0022918161602078547
Baseline,750,-0.0005291882324218733,2.3076944187927246,2.3071652305603028,10.0,6539376000.0,0.002427376113341706
Baseline,800,-0.0007378474426267267,2.308744963760376,2.308007116317749,10.0,6975334400.0,0.0022314070188204026
Baseline,850,-0.0005867706298827713,2.3085518699645995,2.3079650993347167,10.0,7411292800.0,0.0023738314008386165
Baseline,900,-0.0008377598571778222,2.309940280227661,2.3091025203704834,10.0,7847251200.0,0.0024187762865586744
Baseline,950,-0.0007028055572511072,2.309143038406372,2.308440232849121,10.0,8283209600.0,0.0022787595679965716
Baseline,1000,-0.0005728057861329461,2.3091319053649904,2.3085590995788574,10.0,8719168000.0,0.0022146156307292276
Baseline,1050,-0.0005604696655270303,2.309170950164795,2.3086104804992678,10.0,9155126400.0,0.00219618181977089
Baseline,1100,-0.0005108603668211309,2.3097760577392576,2.3092651973724365,10.0,9591084800.0,0.0023295335492866305
Baseline,1150,-0.0006350212860111171,2.310204291610718,2.309569270324707,10.0,10027043200.0,0.0023523810901484783
Baseline,1200,-0.0004866317749021576,2.3093231887817383,2.308836557006836,10.0,10463001600.0,0.002345971170858799
Baseline,1250,-0.000533609542846758,2.3102565839385987,2.309722974395752,10.0,10898960000.0,0.002299273230400073
Baseline,1300,-0.00048283874511723113,2.31008675491333,2.309603916168213,10.0,11334918400.0,0.0025769029349549553
Baseline,1350,-0.0005898747253416659,2.310055244140625,2.309465369415283,10.0,11770876800.0,0.0023804082796422934
Baseline,1400,-0.0005592996215821877,2.31041486907959,2.3098555694580076,10.0,12206835200.0,0.0023654053838172316
Baseline,1450,-0.0003751440429686781,2.309505858078003,2.3091307140350343,10.0,12642793600.0,0.0022848657938340207
Baseline,1500,-0.0005560633850096863,2.309731385345459,2.309175321960449,10.0,13078752000.0,0.0021532339175350467
Baseline,1550,-0.00046311943054178073,2.3104584479522705,2.3099953285217287,10.0,13514710400.0,0.002399279866977996
Baseline,1600,-0.00040235130310062317,2.310335535736084,2.3099331844329836,10.0,13950668800.0,0.0023670237245353026
Baseline,1650,-0.0004083560180663248,2.310477677459717,2.3100693214416506,10.0,14386627200.0,0.0023698387721851734
Baseline,1700,-0.00045435791015657756,2.311190170288086,2.3107358123779296,10.0,14822585600.0,0.0023106648475381686
Baseline,1750,-0.0004996681213378373,2.3107791679382323,2.3102794998168945,10.0,15258544000.0,0.0022043596434487777
Baseline,1800,-0.00043247505187959945,2.3121953824615478,2.311762907409668,10.0,15694502400.0,0.002380868181406437
Baseline,1850,-0.00042601142883302856,2.3125161515808106,2.3120901401519776,10.0,16130460800.0,0.0023492807394549452
Baseline,1900,-0.000631437911987387,2.3136355448150634,2.313004106903076,10.0,16566419200.0,0.0023793959642763123
Baseline,1950,-0.000645957717895218,2.3129633977508544,2.312317440032959,10.0,17002377600.0,0.002167268108343265
Baseline,2000,-0.00047131454467752576,2.312690468902588,2.3122191543579103,10.0,17438336000.0,0.002417402475183336
Baseline,2050,-0.0005956739807126965,2.3135307402038574,2.3129350662231447,10.0,17874294400.0,0.0023492885883061505
Baseline,2100,-0.0005141884613037995,2.313714016799927,2.313199828338623,10.0,18310252800.0,0.00242972778762193
Baseline,2150,-0.0005536362457276844,2.3138972416687014,2.3133436054229737,10.0,18746211200.0,0.0022936799856191404
Baseline,2200,-0.00038338623046874076,2.313502454376221,2.313119068145752,10.0,19182169600.0,0.002269624489365571
Baseline,2250,-0.000430317230224464,2.3132868991088866,2.312856581878662,10.0,19618128000.0,0.002440497512422685
Baseline,2300,-0.00035463951110825676,2.3131795780944824,2.312824938583374,10.0,20054086400.0,0.0023562358540932804
Baseline,2350,-0.00046034942626960174,2.3122287248229982,2.3117683753967286,10.0,20490044800.0,0.0023958335976681537
Baseline,2400,-0.0004933940124511871,2.3134952388000487,2.3130018447875975,10.0,20926003200.0,0.002232400021596093
Baseline,2450,-0.00034730194091769917,2.3134447354125975,2.31309743347168,10.0,21361961600.0,0.0023183377680430052
Baseline,2500,-0.0005094461059571564,2.313419889984131,2.312910443878174,10.0,21797920000.0,0.0023420976471735105
Baseline,2550,-0.0005490761566160351,2.314513833312988,2.313964757156372,10.0,22233878400.0,0.00228294209429076
Baseline,2600,-0.00029976089477523615,2.3140209210205076,2.3137211601257324,10.0,22669836800.0,0.002441194677898442
Baseline,2650,-0.00035030914306677374,2.314450018463135,2.314099709320068,10.0,23105795200.0,0.002291668201725508
Baseline,2700,-0.0003676319122312144,2.314125108718872,2.3137574768066407,10.0,23541753600.0,0.0022877842839861746
Baseline,2750,-0.00038849990844758153,2.314246981124878,2.3138584812164305,10.0,23977712000.0,0.002336790560762586
Baseline,2800,-0.0003617781066895809,2.3142859022521973,2.3139241241455077,10.0,24413670400.0,0.002362618311439335
Baseline,2850,-0.0002739039611818761,2.3141220973205567,2.313848193359375,10.0,24849628800.0,0.00237208442867434
Baseline,2900,-0.0005590593719482229,2.315484885635376,2.3149258262634276,10.0,25285587200.0,0.002354647890772574
Baseline,2950,-0.0005935829925536318,2.315601806716919,2.3150082237243654,10.0,25721545600.0,0.0023111455161085813
Baseline,3000,-0.0003543268585204373,2.314787610473633,2.3144332836151125,10.0,26157504000.0,0.002174037367701223
Baseline,3050,-0.0002781302642822503,2.31496094619751,2.3146828159332276,10.0,26593462400.0,0.002399203852818016
Baseline,3100,-0.00034715164184584424,2.315754582672119,2.3154074310302732,10.0,27029420800.0,0.0021752738916656273
Baseline,3150,-0.0004236234283450102,2.3160676137542726,2.3156439903259276,10.0,27465379200.0,0.0023551717649052035
Baseline,3200,-0.0003867518615718879,2.315629434890747,2.315242683029175,10.0,27901337600.0,0.0023445456324839827
Baseline,3250,-0.0005145394897461131,2.317013170776367,2.316498631286621,10.0,28337296000.0,0.0024425470631818684
Baseline,3300,-0.0004137899017333524,2.3163073510742187,2.3158935611724853,10.0,28773254400.0,0.002304652112893235
Baseline,3350,-0.00033281669616735954,2.315167501449585,2.314834684753418,10.0,29209212800.0,0.002363763399881694
Baseline,3400,-0.00030909515380894703,2.314457507476807,2.314148412322998,10.0,29645171200.0,0.0022340001908991826
