Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,50,6.40869135537514e-09,2.3025870472717287,2.30258705368042,10.0,435958400.0,6.266005419661028e-06
Baseline,100,-2.006530763765113e-08,2.3025876768493654,2.3025876567840577,10.0,871916800.0,5.841566599030769e-06
Baseline,150,1.8920898625651716e-08,2.3025876512145995,2.302587670135498,10.0,1307875200.0,4.66496196516701e-06
Baseline,200,6.332397273212109e-09,2.3025878469085694,2.3025878532409667,10.0,1743833600.0,8.731359207689765e-06
Baseline,250,-4.80651873857596e-09,2.302587089767456,2.3025870849609373,10.0,2179792000.0,8.608075857503286e-06
Baseline,300,-1.7395019646926357e-08,2.302586347808838,2.3025863304138183,10.0,2615750400.0,9.583365325492642e-06
Baseline,350,-8.621216185389358e-09,2.302590290298462,2.302590281677246,10.0,3051708800.0,2.4276672343686635e-06
Baseline,400,-2.6245117190626388e-08,2.3025881449890138,2.3025881187438966,10.0,3487667200.0,1.3410700605556583e-05
Baseline,450,-3.8146952263673484e-10,2.302587900543213,2.3025879001617433,10.0,3923625600.0,6.8927989544654265e-06
Baseline,500,-2.082824712701381e-08,2.302589101638794,2.302589080810547,10.0,4359584000.0,1.2604756618345508e-06
Baseline,550,-2.082824712701381e-08,2.302585917892456,2.302585897064209,10.0,4795542400.0,7.084593033786278e-06
Baseline,600,-6.942749042337937e-09,2.3025878243255615,2.3025878173828125,10.0,5231500800.0,5.051103453733322e-06
Baseline,650,-3.280639759850601e-09,2.3025885958099366,2.302588592529297,10.0,5667459200.0,9.10005347474135e-06
Baseline,700,3.20434612177678e-09,2.3025874308013914,2.3025874340057375,10.0,6103417600.0,5.408496100574317e-06
Baseline,750,3.20434567768757e-09,2.302586821975708,2.302586825180054,10.0,6539376000.0,7.020570974070918e-06
