Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
QSGD-8bit,50,2.435371398901154e-05,2.309113296585083,2.309137650299072,9.99,54496400.0,0.00015986952973714113
QSGD-8bit,100,-8.298866272005156e-05,2.3097042391967775,2.3096212505340574,9.99,108992800.0,0.00016253936335980482
QSGD-8bit,150,-0.0001516719818117629,2.3100195095062257,2.309867837524414,9.98,163489200.0,0.00017037060755801386
QSGD-8bit,200,-0.00017387161254900363,2.3100585220336916,2.3098846504211425,9.95,217985600.0,0.00018091016509157263
QSGD-8bit,250,-0.0001545206451414316,2.3102518545532225,2.310097333908081,9.93,272482000.0,0.00017114667584886817
QSGD-8bit,300,-0.00017342285156285442,2.3103428018951417,2.310169379043579,9.91,326978400.0,0.00016279538100946213
