Experiment,Epoch,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,0,50,-0.0009474774169921929,2.3008868031311036,2.2999393257141114,12.59,435958400.0,0.004814589602970698
Baseline,1,100,-0.0008671849060060133,2.302516658477783,2.301649473571777,11.91,871916800.0,0.006904221291205104
Baseline,1,150,-0.0011439244079589628,2.3033319584655763,2.3021880340576173,9.88,1307875200.0,0.00659750102939094
Baseline,2,200,-0.0013284161376949655,2.3017190556335447,2.3003906394958498,11.52,1743833600.0,0.00720859713196359
Baseline,3,250,-0.0013184097290035446,2.3004224220275877,2.299104012298584,10.25,2179792000.0,0.008105702796014469
Baseline,3,300,-0.001824611282348787,2.2983619411468506,2.2965373298645018,12.38,2615750400.0,0.008435939436910667
Baseline,4,350,-0.002140487670898583,2.2966359870910646,2.294495499420166,15.06,3051708800.0,0.0082446129606632
Baseline,5,400,-0.0024012724304198763,2.2949830488586427,2.292581776428223,13.54,3487667200.0,0.012217483578772859
Baseline,5,450,-0.0024994332122800778,2.2950162445831297,2.2925168113708496,13.99,3923625600.0,0.008843204040963915
Baseline,6,500,-0.0033954738616945868,2.293264700317383,2.2898692264556884,14.72,4359584000.0,0.009012134159579965
Baseline,6,550,-0.0032368939971925137,2.2942480615234375,2.291011167526245,14.13,4795542400.0,0.009418533280586639
Baseline,7,600,-0.002516862564086786,2.2968464100646973,2.2943295475006105,11.14,5231500800.0,0.009402396581847128
Baseline,8,650,-0.003319193725585645,2.295396849517822,2.2920776557922364,12.46,5667459200.0,0.010107464700816826
Baseline,8,700,-0.003142525787353634,2.294423549194336,2.2912810234069823,12.25,6103417600.0,0.009776132553565232
Baseline,9,750,-0.0030975576782226177,2.2932985334777833,2.2902009757995607,13.62,6539376000.0,0.009779064349310218
Baseline,10,800,-0.0030289570617676453,2.2953356701660157,2.292306713104248,13.39,6975334400.0,0.011260383658584972
Baseline,10,850,-0.0027438099670411553,2.2943008320617677,2.2915570220947266,11.53,7411292800.0,0.010469199932925022
Baseline,11,900,-0.002986544952392478,2.295323171386719,2.2923366264343263,11.43,7847251200.0,0.00936380838587254
Baseline,12,950,-0.002801468734741519,2.2948124424743654,2.292010973739624,12.77,8283209600.0,0.01703998662753047
Baseline,12,1000,-0.002696357116699133,2.292006854400635,2.2893104972839358,13.12,8719168000.0,0.009801824611243815
Baseline,13,1050,-0.0030375417327883625,2.2956341180419924,2.292596576309204,11.2,9155126400.0,0.00941327898980967
Baseline,13,1100,-0.002850106353759596,2.293165709991455,2.2903156036376955,12.52,9591084800.0,0.009846305752191298
