Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
Baseline,50,1.91497804280516e-08,2.302738466949463,2.3027384860992433,10.0,435958400.0,0.000732548331132921
Baseline,100,2.9983520555276755e-08,2.3027625371551514,2.302762567138672,10.0,871916800.0,0.0009237266787184874
Baseline,150,2.1820068418776373e-08,2.3028213832092286,2.302821405029297,10.0,1307875200.0,0.00027876884028045675
Baseline,200,7.553100811463764e-09,2.3027844940948485,2.3027845016479493,10.0,1743833600.0,0.0003902411584156152
Baseline,250,2.151489253421346e-08,2.302869039001465,2.3028690605163575,10.0,2179792000.0,0.0007101510899435951
Baseline,300,5.264282343375726e-09,2.3026748947906492,2.3026749000549316,10.0,2615750400.0,0.000781997725763187
Baseline,350,-5.340575981449547e-09,2.302977465057373,2.302977459716797,10.0,3051708800.0,0.0008133554020935164
Baseline,400,7.629394893626795e-10,2.3027069717407227,2.302706972503662,10.0,3487667200.0,0.0005512671458207333
Baseline,450,-2.952575650638778e-08,2.302979306564331,2.3029792770385744,10.0,3923625600.0,0.0003459581663567291
Baseline,500,2.716064440022592e-08,2.3027776747894286,2.302777701950073,10.0,4359584000.0,0.00045550354343077207
Baseline,550,2.2735595628375904e-08,2.3027100854492186,2.3027101081848143,10.0,4795542400.0,0.000409287865253705
Baseline,600,-4.653930574249898e-09,2.302783267288208,2.3027832626342772,10.0,5231500800.0,0.00032571563236821754
Baseline,650,1.8692016379162624e-08,2.3027361824035646,2.302736201095581,10.0,5667459200.0,0.0007561743889277807
Baseline,700,1.3732910364439022e-08,2.302745787811279,2.3027458015441895,10.0,6103417600.0,0.0006959773541495885
Baseline,750,-1.8844604543488686e-08,2.3028213803863524,2.302821361541748,10.0,6539376000.0,0.00017322434638829438
